page_number,char_count,myanmar_char_count,myanmar_char_ratio,avg_word_confidence,empty_page,suspicious_page,has_error
1,117,46,0.393,0.732,False,False,False
2,0,0,0.0,,True,True,False
3,1,0,0.0,0.735,False,True,False
4,380,314,0.826,0.957,False,False,False
5,4040,3518,0.871,0.991,False,False,False
6,2129,1411,0.663,0.986,False,False,False
7,901,807,0.896,0.974,False,False,False
8,1117,965,0.864,0.951,False,False,False
9,2090,1887,0.903,0.988,False,False,False
10,2335,2140,0.916,0.987,False,False,False
11,2493,2293,0.92,0.989,False,False,False
12,2613,2408,0.922,0.991,False,False,False
13,2488,2288,0.92,0.99,False,False,False
14,2524,2321,0.92,0.989,False,False,False
15,2214,2037,0.92,0.991,False,False,False
16,2571,2374,0.923,0.994,False,False,False
17,2541,2332,0.918,0.992,False,False,False
18,2469,2271,0.92,0.993,False,False,False
19,1579,1441,0.913,0.987,False,False,False
20,1883,1704,0.905,0.992,False,False,False
21,2346,2148,0.916,0.984,False,False,False
22,2237,2055,0.919,0.994,False,False,False
23,1820,1640,0.901,0.983,False,False,False
24,2845,2603,0.915,0.973,False,False,False
25,3014,2767,0.918,0.986,False,False,False
26,3044,2794,0.918,0.981,False,False,False
27,2913,2664,0.915,0.983,False,False,False
28,2957,2733,0.924,0.991,False,False,False
29,3015,2769,0.918,0.989,False,False,False
30,2989,2730,0.913,0.983,False,False,False
31,2979,2728,0.916,0.983,False,False,False
32,2912,2662,0.914,0.983,False,False,False
33,2874,2653,0.923,0.988,False,False,False
34,2910,2672,0.918,0.986,False,False,False
35,3043,2790,0.917,0.987,False,False,False
36,3120,2859,0.916,0.987,False,False,False
37,2794,2574,0.921,0.989,False,False,False
38,2436,2213,0.908,0.983,False,False,False
39,2829,2616,0.925,0.981,False,False,False
40,3108,2864,0.921,0.98,False,False,False
41,3159,2897,0.917,0.981,False,False,False
42,3082,2783,0.903,0.977,False,False,False
43,2697,2456,0.911,0.98,False,False,False
44,3090,2805,0.908,0.98,False,False,False
45,2981,2741,0.919,0.984,False,False,False
46,2848,2607,0.915,0.986,False,False,False
47,2819,2585,0.917,0.988,False,False,False
48,2600,2374,0.913,0.984,False,False,False
49,2711,2499,0.922,0.987,False,False,False
50,2803,2550,0.91,0.983,False,False,False
51,3076,2823,0.918,0.982,False,False,False
52,2779,2568,0.924,0.991,False,False,False
53,2917,2683,0.92,0.989,False,False,False
54,3013,2788,0.925,0.989,False,False,False
55,3026,2785,0.92,0.984,False,False,False
56,2906,2663,0.916,0.978,False,False,False
57,2661,2432,0.914,0.983,False,False,False
58,2357,2173,0.922,0.982,False,False,False
59,2973,2764,0.93,0.98,False,False,False
60,2912,2691,0.924,0.99,False,False,False
61,2675,2447,0.915,0.986,False,False,False
62,2915,2652,0.91,0.982,False,False,False
63,2445,2261,0.925,0.99,False,False,False
64,2615,2388,0.913,0.981,False,False,False
65,2579,2372,0.92,0.986,False,False,False
66,2367,2137,0.903,0.979,False,False,False
67,2567,2350,0.915,0.984,False,False,False
68,2866,2620,0.914,0.982,False,False,False
