page_number,char_count,myanmar_char_count,myanmar_char_ratio,avg_word_confidence,empty_page,suspicious_page,has_error
1,175,138,0.789,0.82,False,False,False
2,125,115,0.92,0.507,False,True,False
3,101,96,0.95,0.512,False,True,False
4,327,263,0.804,0.946,False,False,False
5,284,208,0.732,0.963,False,False,False
6,1992,1345,0.675,0.988,False,False,False
7,709,489,0.69,0.957,False,False,False
8,1159,959,0.827,0.932,False,False,False
9,1707,1545,0.905,0.987,False,False,False
10,2339,2125,0.909,0.98,False,False,False
11,2344,2134,0.91,0.983,False,False,False
12,2208,2018,0.914,0.99,False,False,False
13,2132,1943,0.911,0.987,False,False,False
14,2007,1843,0.918,0.99,False,False,False
15,2206,2006,0.909,0.986,False,False,False
16,2010,1830,0.91,0.989,False,False,False
17,1937,1759,0.908,0.989,False,False,False
18,1883,1704,0.905,0.988,False,False,False
19,2354,2146,0.912,0.983,False,False,False
20,2236,2053,0.918,0.994,False,False,False
21,1104,1005,0.91,0.971,False,False,False
22,2142,1935,0.903,0.994,False,False,False
23,2371,2179,0.919,0.993,False,False,False
24,2427,2232,0.92,0.993,False,False,False
25,2553,2335,0.915,0.993,False,False,False
26,2146,1972,0.919,0.996,False,False,False
27,2292,2055,0.897,0.992,False,False,False
28,1909,1736,0.909,0.992,False,False,False
29,2374,2182,0.919,0.996,False,False,False
30,2403,2207,0.918,0.993,False,False,False
31,2724,2494,0.916,0.99,False,False,False
32,2082,1877,0.902,0.989,False,False,False
33,2794,2559,0.916,0.989,False,False,False
34,2481,2223,0.896,0.972,False,False,False
35,3021,2757,0.913,0.964,False,False,False
36,2414,2191,0.908,0.979,False,False,False
37,2151,1960,0.911,0.969,False,False,False
38,2302,2115,0.919,0.98,False,False,False
39,2145,1969,0.918,0.966,False,False,False
40,2186,1976,0.904,0.989,False,False,False
41,1325,1172,0.885,0.908,False,False,False
42,1704,1496,0.878,0.913,False,False,False
43,2485,2223,0.895,0.921,False,False,False
44,1958,1736,0.887,0.912,False,False,False
45,2115,1895,0.896,0.908,False,False,False
46,2607,2375,0.911,0.969,False,False,False
47,2132,1974,0.926,0.984,False,False,False
48,2919,2675,0.916,0.989,False,False,False
49,2894,2661,0.919,0.985,False,False,False
50,2771,2550,0.92,0.989,False,False,False
51,2604,2357,0.905,0.985,False,False,False
52,2591,2385,0.92,0.988,False,False,False
53,2847,2605,0.915,0.984,False,False,False
54,3024,2784,0.921,0.989,False,False,False
55,2821,2584,0.916,0.989,False,False,False
56,3188,2940,0.922,0.989,False,False,False
57,3071,2824,0.92,0.986,False,False,False
58,2462,2191,0.89,0.979,False,False,False
59,1896,1697,0.895,0.979,False,False,False
60,2152,1918,0.891,0.981,False,False,False
61,2691,2411,0.896,0.973,False,False,False
62,1405,1276,0.908,0.962,False,False,False
63,383,343,0.896,0.851,False,False,False
64,415,360,0.867,0.8,False,False,False
65,148,135,0.912,0.987,False,False,False
66,168,149,0.887,0.982,False,False,False
67,2152,1968,0.914,0.98,False,False,False
68,3191,2928,0.918,0.986,False,False,False
69,2989,2739,0.916,0.977,False,False,False
70,2863,2611,0.912,0.989,False,False,False
71,3041,2794,0.919,0.983,False,False,False
72,2945,2685,0.912,0.982,False,False,False
73,2800,2560,0.914,0.987,False,False,False
