sender_block,receiver_block,edge_probability
0,0,0.013888888888888888
0,1,0.3111111111111111
0,2,0.10101010101010101
1,0,0.5333333333333333
1,1,0.9666666666666667
1,2,0.8818181818181818
2,0,0.10101010101010101
2,1,0.8181818181818182
2,2,0.4636363636363636
