view,null_model,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_two_sided
base,unrestricted,0.3706632590175144,-0.0005947215846511789,0.032407763253663895,11.455834754661527,0.0005,0.001,1999,0.001
base,within_relation_domain,0.3706632590175144,0.12741313946605237,0.02787246441897857,8.72725554134464,0.0005,0.001,1999,0.001
base,Freedman_Lane_QAP_frequency_and_shared_predicates,0.2195609255278835,-0.00010420314405443114,0.02588525788587141,8.486109338390431,0.0005,0.001,1999,0.001
context,unrestricted,0.4762315737065148,-8.444435528261732e-06,0.02828784310008366,16.835501259572336,0.0005,0.001,1999,0.001
context,within_relation_domain,0.4762315737065148,0.15612010996627138,0.026617753212457643,12.026239073793233,0.0005,0.001,1999,0.001
context,Freedman_Lane_QAP_frequency_and_shared_predicates,0.2617481130656995,0.0008030082898629182,0.019096981804878812,13.664206597776174,0.0005,0.001,1999,0.001
fused,unrestricted,0.4140228147946206,-8.684241258078282e-05,0.031041698423075546,13.340431685250948,0.0005,0.001,1999,0.001
fused,within_relation_domain,0.4140228147946206,0.14077386492401556,0.027505755369776615,9.934246349433167,0.0005,0.001,1999,0.001
fused,Freedman_Lane_QAP_frequency_and_shared_predicates,0.2518902756432907,-3.257348688334966e-05,0.02416902976521476,10.423374524233225,0.0005,0.001,1999,0.001
