model,epoch,train_batch_loss_sum,validation_MRR
DistMult,10,38.98443841934204,0.2849607973978945
DistMult,20,31.470924377441406,0.3028778026393373
DistMult,30,28.844058632850647,0.2985621263940035
DistMult,40,27.47811269760132,0.2940115491725725
DistMult,50,26.570707321166992,0.2869691974535825
DistMult,60,25.886414289474487,0.2827383099270187
DistMult,70,25.368771076202393,0.27867301940578204
ComplEx,10,25.397042989730835,0.26221817406990433
ComplEx,20,14.027275919914246,0.23402596295225475
ComplEx,30,9.259689182043076,0.2146917903535943
ComplEx,40,6.443976551294327,0.21289708568066354
ComplEx,50,4.516254648566246,0.20950967279829735
ComplEx,60,3.0541854947805405,0.20591829510326598
