pattern,paths,pages,largest_page_share,top5_page_share,same_sentence_share,sovereign_intermediate_share
allegiance -> authorization,1719,256,0.03664921465968586,0.1489237929028505,0.0651541593949971,0.9645142524723677
authorization -> execution,773,286,0.062095730918499355,0.15653298835705046,0.5756791720569211,0.222509702457956
information -> authorization,581,143,0.07228915662650602,0.19104991394148021,0.1738382099827883,0.8932874354561101
resistance -> coercion,117,35,0.19658119658119658,0.48717948717948717,0.15384615384615385,0.6239316239316239
