seed,communities,modularity,ARI_to_seed0
0,3,0.13265288276887008,1.0
1,3,0.1326514371820182,0.9408656453770776
2,4,0.1278351039257243,0.8100049231040538
3,3,0.12327659993499959,0.6241212487716381
4,4,0.1213633539357929,0.5440198542747144
5,3,0.1326514371820182,0.9408656453770776
6,4,0.1278351039257243,0.8100049231040538
7,4,0.1213633539357929,0.5440198542747144
8,4,0.1278351039257243,0.8100049231040538
9,3,0.1326514371820182,0.9408656453770776
10,4,0.1278351039257243,0.8100049231040538
11,4,0.1278351039257243,0.8100049231040538
12,4,0.1278351039257243,0.8100049231040538
13,4,0.1213633539357929,0.5440198542747144
14,4,0.1278351039257243,0.8100049231040538
15,4,0.1278351039257243,0.8100049231040538
16,4,0.1278351039257243,0.8100049231040538
17,4,0.1278351039257243,0.8100049231040538
18,3,0.12351986417549152,0.7905407916744099
19,4,0.1278351039257243,0.8100049231040538
