specification,n,conditional_mutual_information_bits
all,27129,0.7579841994773715
sentence_category_deduplicated,22143,0.7900068206234157
without_registers,24514,0.7657660130477952
vol1,8147,0.7901482810516239
vol2,9179,0.9035148413719721
vol3,9803,0.9745701399982651
