entity,neighbor,profile_cosine
E01,E23,0.7674676716717848
E01,E02,0.7568603918751058
E01,E05,0.7222166997653118
E01,E09,0.6667857548237212
E01,E03,0.6474660192415423
E02,E05,0.8521490202704346
E02,E03,0.8409547150040116
E02,E09,0.8370454246658907
E02,E07,0.7757441707445293
E02,E16,0.7718500727349814
E03,E02,0.8409547150040116
E03,E05,0.6615620100402023
E03,E01,0.6474660192415423
E03,E06,0.6181637754847475
E03,E09,0.5828806684580649
E04,E03,0.545149542025893
E04,E31,0.5293734305686958
E04,E44,0.5151009839722828
E04,E02,0.5150001833790058
E04,E01,0.5125876297095074
E05,E09,0.8659435136123235
E05,E02,0.8521490202704346
E05,E06,0.8504932217310219
E05,E07,0.8203085715017135
E05,E13,0.7863049434260958
E06,E05,0.8504932217310219
E06,E09,0.7621328369009872
E06,E13,0.7465368935981513
E06,E10,0.7447122648502267
E06,E02,0.7218502772710195
E07,E09,0.8964596319504868
E07,E05,0.8203085715017135
E07,E02,0.7757441707445293
E07,E14,0.7536205096907127
E07,E16,0.7527775510881733
E08,E14,0.7498512399456495
E08,E07,0.7445039887451691
E08,E38,0.6775477832665845
E08,E17,0.6732778361676011
E08,E09,0.6419258474243902
E09,E07,0.8964596319504868
E09,E05,0.8659435136123235
E09,E02,0.8370454246658907
E09,E10,0.8224145984011784
E09,E16,0.7757344894831186
E10,E09,0.8224145984011784
E10,E16,0.7803255841259106
E10,E05,0.7717237401639735
E10,E13,0.7665386114670629
E10,E02,0.7533552439684618
E11,E08,0.6149569058320251
E11,E12,0.5531304761260162
E11,E10,0.5500384595034171
E11,E13,0.5481859145358714
E11,E05,0.5410510213012982
E12,E46,0.7519934518854426
E12,E10,0.6889123752912576
E12,E13,0.6841111558956401
E12,E48,0.6696704375127124
E12,E19,0.6604075022720828
E13,E05,0.7863049434260958
E13,E10,0.7665386114670629
E13,E06,0.7465368935981513
E13,E12,0.6841111558956401
E13,E02,0.6808391812796626
E14,E07,0.7536205096907127
E14,E17,0.7499507258150521
E14,E08,0.7498512399456495
E14,E16,0.6938664658494059
E14,E18,0.6836717894123865
E15,E49,0.5630413701422758
E15,E12,0.43598953231575316
E15,E14,0.43388564479094494
E15,E51,0.3923096672208142
E15,E19,0.3696831123371074
E16,E10,0.7803255841259106
E16,E09,0.7757344894831186
E16,E02,0.7718500727349814
E16,E07,0.7527775510881733
E16,E17,0.7291035414668665
E17,E18,0.8500119325349916
E17,E07,0.7527499130622171
E17,E14,0.7499507258150521
E17,E16,0.7291035414668665
E17,E08,0.6732778361676011
E18,E17,0.8500119325349916
E18,E07,0.6887275653522125
E18,E14,0.6836717894123865
E18,E08,0.6153548304402332
E18,E16,0.6105589237051036
E19,E05,0.7419809651266017
E19,E16,0.7178885759853075
E19,E13,0.6766967000898687
E19,E09,0.671653449898784
E19,E02,0.6659130793234328
E20,E21,0.6494109353351333
E20,E12,0.6080291474274522
E20,E05,0.5936519060587684
E20,E06,0.5828184567966023
E20,E02,0.5825803849322133
E21,E27,0.6751430317307769
E21,E20,0.6494109353351333
E21,E31,0.5894166159271658
E21,E35,0.5639817046737324
E21,E44,0.5603319168055834
E22,E06,0.6406144125671857
E22,E05,0.6117841091328478
E22,E13,0.5682810002896901
E22,E44,0.5519408687864045
E22,E01,0.5442792735777772
E23,E01,0.7674676716717848
E23,E05,0.6831367615270717
E23,E09,0.6338983659097732
E23,E17,0.6145611796569905
E23,E06,0.6030785044373435
E24,E26,0.769657843983041
E24,E25,0.6896079044128781
E24,E38,0.6750904733259201
E24,E41,0.6494962527098864
E24,E28,0.6402661676098292
E25,E35,0.7009458788727527
E25,E24,0.6896079044128781
E25,E27,0.6853790553816791
E25,E31,0.6784682077006866
E25,E28,0.6510554640306686
E26,E24,0.769657843983041
E26,E38,0.6574688108939152
E26,E25,0.6013386848688679
E26,E41,0.5757512052738459
E26,E08,0.5727752015879245
E27,E31,0.7812000486307414
E27,E25,0.6853790553816791
E27,E21,0.6751430317307769
E27,E35,0.6444899950043393
E27,E29,0.6428643654313908
E28,E29,0.6750561433312753
E28,E25,0.6510554640306686
E28,E24,0.6402661676098292
E28,E38,0.6388234537624596
E28,E27,0.6252995341703287
E29,E28,0.6750561433312753
E29,E27,0.6428643654313908
E29,E25,0.5924315526114755
E29,E38,0.5359612055969133
E29,E41,0.5307308816365066
E30,E05,0.3713827071345571
E30,E19,0.3504317226938101
E30,E02,0.34960340801635137
E30,E31,0.34751557592305093
E30,E06,0.3417798126990275
E31,E27,0.7812000486307414
E31,E35,0.7559742082317392
E31,E37,0.7090348954144166
E31,E25,0.6784682077006866
E31,E44,0.6285586424083254
E32,E31,0.6006086390497982
E32,E23,0.5659371846632091
E32,E35,0.5466841276357985
E32,E34,0.5432340811641347
E32,E42,0.5291172327564745
E33,E44,0.6261556164387447
E33,E42,0.5767043721673677
E33,E45,0.4894737934333407
E33,E41,0.48318650218076176
E33,E31,0.4466715367623349
E34,E40,0.5925631128586472
E34,E41,0.5596671129923624
E34,E32,0.5432340811641347
E34,E42,0.5424275877580941
E34,E12,0.49057047394028136
E35,E31,0.7559742082317392
E35,E25,0.7009458788727527
E35,E27,0.6444899950043393
E35,E44,0.6195645370444662
E35,E42,0.5766938378916053
E36,E28,0.389021691793912
E36,E24,0.3825222347383095
E36,E37,0.2932460937442583
E36,E38,0.2748657619072337
E36,E11,0.26092981694405626
E37,E31,0.7090348954144166
E37,E38,0.5699355121197532
E37,E27,0.5573472141610396
E37,E28,0.5322727225174086
E37,E29,0.5254834042966396
E38,E08,0.6775477832665845
E38,E24,0.6750904733259201
E38,E26,0.6574688108939152
E38,E28,0.6388234537624596
E38,E31,0.5798795755761682
E39,E08,0.5144233734412775
E39,E38,0.5108659315976624
E39,E11,0.4852182884982576
E39,E24,0.4284719310429702
E39,E41,0.38414649136602336
E40,E41,0.6741545640781049
E40,E34,0.5925631128586472
E40,E24,0.5182919307885956
E40,E29,0.4942696418858649
E40,E42,0.4851094260401652
E41,E40,0.6741545640781049
E41,E24,0.6494962527098864
E41,E42,0.6097257184650525
E41,E25,0.5872334391923417
E41,E26,0.5757512052738459
E42,E41,0.6097257184650525
E42,E44,0.582893267195159
E42,E33,0.5767043721673677
E42,E35,0.5766938378916053
E42,E34,0.5424275877580941
E43,E41,0.4603255705897198
E43,E38,0.3989912485478919
E43,E42,0.37234948360324605
E43,E39,0.3646620046815034
E43,E37,0.3530125408326574
E44,E31,0.6285586424083254
E44,E33,0.6261556164387447
E44,E35,0.6195645370444662
E44,E42,0.582893267195159
E44,E21,0.5603319168055834
E45,E44,0.5361702224336234
E45,E41,0.5323809288110938
E45,E33,0.4894737934333407
E45,E42,0.4273376119197918
E45,E28,0.4033802084999429
E46,E12,0.7519934518854426
E46,E10,0.6976981914726329
E46,E16,0.6911356156209761
E46,E19,0.6553855374169537
E46,E06,0.6504324536502276
E47,E06,0.5257562722385813
E47,E05,0.5093836464978444
E47,E02,0.45349093132433455
E47,E10,0.44171595859955287
E47,E13,0.43527003692264427
E48,E12,0.6696704375127124
E48,E10,0.6312245832502871
E48,E46,0.600669894388372
E48,E06,0.5997977388719186
E48,E05,0.5523914513191139
E49,E15,0.5630413701422758
E49,E12,0.38357460378887226
E49,E46,0.36284979711187004
E49,E52,0.35830498571017655
E49,E19,0.33910493913197914
E50,E18,0.5389447923464683
E50,E14,0.518664109560964
E50,E07,0.5082588406578221
E50,E17,0.5063025399149546
E50,E16,0.49254098243534344
E51,E15,0.3923096672208142
E51,E16,0.3585054642594438
E51,E10,0.2815004686779018
E51,E14,0.2669166401207284
E51,E12,0.23111812243030522
E52,E25,0.4417605237023897
E52,E41,0.41483199070401233
E52,E24,0.37108817723816223
E52,E49,0.35830498571017655
E52,E19,0.348986002954728
