entity,label,in_degree,out_degree,in_strength,out_strength,pagerank,betweenness,in_closeness,harmonic,eigenvector,katz,HITS_hub,HITS_authority,coreness,layer_participation
E01,SovereignAndReigningMonarch,45,51,1683.0,10696.0,0.0730274976285319,0.12824657446570722,0.8912655971479501,47.5,0.2186347755780662,0.22312173515777015,0.4488015427458932,0.009604884645031998,28,0.9575459353665885
E02,RoyalHeirPrinceAndDynasticClaimant,34,49,963.0,1647.0,0.02108507898618909,0.040392413445656604,0.7427213309566251,42.0,0.19521880701709998,0.1947733620161636,0.06327461555990721,0.0541416054876575,28,0.9493867528429089
E03,QueenConsortPrincessAndRoyalWoman,25,41,607.0,919.0,0.013124933672875391,0.01853589593285014,0.6449948400412797,37.333333333333336,0.1292457779588167,0.13616163399877862,0.03901185515998415,0.032113376797548554,28,0.8868847280767681
E04,RoyalLineageAncestorAndDynasticCollective,21,23,208.0,101.0,0.011358724149932624,0.005265228589416389,0.6051803437424352,35.166666666666664,0.045137705106791326,0.06325156333360889,0.004072902740686345,0.012475490131955562,28,0.9188901046488791
E05,CourtMinisterAndCentralCivilOfficial,27,46,1226.0,1866.0,0.01673515861832776,0.015295374640959812,0.67150147730325,38.5,0.24879460834249298,0.24234275936234934,0.06483667795408868,0.07640922633325367,28,0.929261336324307
E06,PalaceRetainerCourtServantAndHouseholdPersonnel,14,29,152.0,323.0,0.004649366351018789,0.003527579139349784,0.5570409982174689,31.666666666666664,0.032799724660833106,0.0526685856918394,0.01255053757052398,0.0103188649900814,28,0.8798526781201517
E07,MilitaryCommanderAndOfficer,22,47,977.0,2066.0,0.012304699316090907,0.01523152594724406,0.6205013651030032,35.83333333333333,0.21486066802376444,0.2098432330647397,0.07635188550460197,0.05729593738329064,28,0.9314509209183652
E08,ArmedForceMilitaryUnitGuardAndSecurityPersonnel,30,42,1457.0,1271.0,0.032346195273670234,0.02750665998511713,0.7002801120448179,40.0,0.2886678512506707,0.2724444221843843,0.04331001934778972,0.04332355999468138,28,0.9397060778902078
E09,ProvincialGovernorAndRegionalAdministrator,20,39,492.0,756.0,0.007999992025077672,0.00572559610288493,0.6051803437424352,34.83333333333333,0.10358881415843281,0.11425692629533973,0.027346995130789017,0.02888605494737539,28,0.9404889786447815
E10,LocalHeadmanRevenueAgentAndCommunityIntermediary,13,33,109.0,246.0,0.004001972949102879,0.0034036442614903016,0.5507821105970478,31.166666666666664,0.022876269033893157,0.043976581701145497,0.007839310986132457,0.006325572875054139,28,0.9212181924428355
E11,CrownServiceGroupOccupationalCorpsAndDependentCommunity,17,27,302.0,384.0,0.006637381352922907,0.002505908201175064,0.5835667600373482,33.333333333333336,0.06872819914676642,0.08299495787994089,0.01740862504074917,0.01636923364576089,28,0.8660281453476161
E12,CommonerTaxpayerProducerAndCivilianPopulation,28,32,341.0,325.0,0.021895710011660838,0.027450380735521543,0.6808278867102396,39.0,0.06361295460654046,0.08022768337363322,0.012007302747500484,0.016929941855874653,28,0.9166578089569161
E13,MerchantArtisanTechnicalExpertAndInterpreter,17,34,139.0,239.0,0.0056302057381107835,0.0035884767116173446,0.5835667600373482,33.333333333333336,0.029213227756677996,0.049602870580459035,0.007342985935620122,0.008941389937315377,28,0.9522491159781804
E14,RebelBanditDefectorAndRivalPoliticalActor,23,36,288.0,457.0,0.01262012995032276,0.015505472086321285,0.628456510809452,36.33333333333333,0.0627248677448176,0.07735209625426497,0.019376900795496383,0.009097399956071376,28,0.9470307987212714
E15,CaptivePrisonerHostageExileAndForciblyDisplacedPerson,14,9,157.0,18.0,0.00604839948571604,0.0001734781494297065,0.5634437683119224,31.833333333333332,0.03360125867575669,0.05289038429775482,0.0006792695650581909,0.006584690515845141,18,0.8022204081632653
E16,TributaryFrontierAndSubordinateRuler,22,34,277.0,484.0,0.007155421330434959,0.006649896781035482,0.6205013651030032,35.83333333333333,0.05771267494667803,0.0741267623151444,0.013158085464720356,0.014244764369981209,28,0.9374854221817713
E17,ForeignSovereignStateAndNoncolonialExternalPower,24,41,336.0,632.0,0.011094708092426932,0.014733138316588606,0.6449948400412797,37.0,0.06920129095259217,0.08363956598878329,0.02199827738662998,0.012797978866180915,28,0.961808145902446
E18,ColonialAuthorityArmyCompanyAndImperialAgent,16,34,153.0,289.0,0.0064280626023427035,0.0030505850933355855,0.5767012687427913,32.833333333333336,0.03088408854548641,0.05083554973294236,0.010738850634021978,0.0062134008764028175,28,0.9504694439759375
E19,EnvoyDiplomatConsulAndPoliticalBroker,24,31,329.0,228.0,0.009076103928022104,0.005376130437729956,0.6449948400412797,37.0,0.06587547881234822,0.08150439630373978,0.005960284311504645,0.015137177339136892,28,0.9468551984877127
E20,BuddhistMonkSayadawAndEcclesiasticalAuthority,17,31,508.0,524.0,0.008814018018339387,0.0047430105033273865,0.5835667600373482,33.333333333333336,0.11337648682912543,0.12260375117302555,0.022866382840220828,0.035784943875903114,28,0.8671038548752834
E21,SanghaMonasticOrderAndReligiousInstitution,14,14,204.0,37.0,0.007451797179521257,0.0008749833403812642,0.5634437683119224,31.833333333333332,0.044913394416398404,0.06314517703268062,0.0012357942082841687,0.013928555827028434,19,0.707907921695563
E22,BrahminAstrologerDivinerAndRitualSpecialist,6,23,34.0,178.0,0.0038975833820330333,0.0005717871048867225,0.5053567818880128,27.499999999999996,0.007322594088529308,0.030447720385018376,0.004674931827572923,0.0022891527963978366,25,0.8651628650786971
E23,RoyalStateAgencyCouncilMinistryAndAdministrativeInstitution,33,44,203.0,550.0,0.035877933549960814,0.04487682352656094,0.7316359379572724,41.5,0.03481334772616125,0.05478847232274973,0.017111674228995438,0.005433297707291933,28,0.9575995344668904
E24,TerritorialPolityProvinceTownAndJurisdiction,41,32,2054.0,109.0,0.05261069374448165,0.01850174211687746,0.8308408109006313,45.5,0.391597218632216,0.36386035130646377,0.0029295590576343534,0.06449999393264609,28,0.9574426390852055
E25,CapitalPalaceAndRoyalCourtSpace,36,30,937.0,146.0,0.034779877764410654,0.010918510437288104,0.7659313725490196,43.0,0.1757058197645918,0.17834968028766934,0.004352279803150476,0.03899787154717343,28,0.9083237000993597
E26,FortCampRoutePortAndStrategicFrontierSpace,35,13,1516.0,32.0,0.03184423370970482,0.003821739586867108,0.7541478129713424,42.5,0.31727173120622637,0.293512465224021,0.0010403086766652525,0.03562832120115764,28,0.8773419399208113
E27,PagodaMonasteryShrineAndSacredSite,33,19,1140.0,69.0,0.039189376271598436,0.007520678848680702,0.7316359379572724,41.5,0.23342472216255622,0.22802674404430862,0.0022117903531318783,0.06421180126994505,28,0.8265761528005211
E28,ProductiveLandWaterForestAndEnvironmentalZone,23,13,159.0,25.0,0.006709819828620154,0.0007396239527409738,0.6366182836771072,36.5,0.03232330605109512,0.05228045152525254,0.0008901692928364491,0.008533509049386294,28,0.934016620498615
E29,TransportCommunicationAndPublicInfrastructure,22,14,217.0,17.0,0.007801648585247496,0.002152904793662397,0.6205013651030032,35.83333333333333,0.04172399840097222,0.06069361963424973,0.00038512170186719174,0.010533249266254034,25,0.8058388394139615
E30,OfficeTitleRankCourtPlaceStatusGradeAndSumptuaryPosition,32,6,2407.0,15.0,0.05922194581333158,0.0013529588697578046,0.720876585928489,41.0,0.3966105150894209,0.37373438431036204,0.00025396259739418213,0.0413230806259069,28,0.5658278106987438
E31,RoyalRegaliaWhiteElephantRelicAndLegitimatingSacra,40,30,1064.0,239.0,0.06651295051220843,0.02732895235276553,0.8169934640522876,45.0,0.2052708473638507,0.20386808385923713,0.006837163059014329,0.047079029084680264,28,0.9130237505316796
E32,AdministrativeTextOrderPetitionRegisterTreatyAndCommunication,31,29,291.0,162.0,0.012685016975050173,0.01158574520099298,0.7104290991759022,40.5,0.053532477617147495,0.07111199612444236,0.004154705438771188,0.01050573022298271,28,0.9246404432132964
E33,GenealogyProphecyOmenAndLegitimatingClaim,30,15,230.0,61.0,0.03699285841024638,0.006713535914457483,0.7002801120448179,40.0,0.04289684189893743,0.061790867068797335,0.0017563244154205774,0.009095918308847699,28,0.7086469405343292
E34,LawOathCustomObligationRightExemptionAndNormativeRule,27,7,161.0,11.0,0.01331924380094509,0.0015253837712770513,0.67150147730325,38.5,0.027882432144055294,0.04880008379826788,0.0002751824355203758,0.005947275046332128,28,0.9093010965781477
E35,RitualCeremonyFestivalAndCourtPerformance,35,28,889.0,84.0,0.02823896761383978,0.010817936159363141,0.7541478129713424,42.5,0.17319124016092774,0.17592032995738133,0.0026200016686527,0.043028051870207154,28,0.7131652073505139
E36,AppanageTaxBaseRevenueAssignmentAndFiscalRight,14,2,236.0,2.0,0.005656938634621583,0.0,0.5699954400364797,32.0,0.044506882203462675,0.06269289157386339,8.021158228046058e-05,0.0061409421280076105,15,0.43118423840124287
E37,TributeGiftWealthAndRedistributiveResource,27,16,298.0,38.0,0.0129588419896641,0.0037985909861662113,0.67150147730325,38.5,0.05422939267429809,0.07176614930028545,0.0011795360199778034,0.01120344175596555,28,0.9188770085066162
E38,MilitaryMaterielAnimalVesselTransportAndProvision,33,17,688.0,122.0,0.024949354764081347,0.006944779225804602,0.7316359379572724,41.5,0.14667526335152237,0.14850729467304344,0.004960801795791494,0.0167870619313884,28,0.9389229205980548
E39,LaborServicePopulationAndProductiveCapacity,23,3,179.0,4.0,0.011845757750985684,0.00035684146687606894,0.6366182836771072,36.5,0.03571381933893752,0.05468916301283366,9.889609627835383e-05,0.004631288614359904,23,0.8343635223506226
E40,PolicyStrategyAdministrativeProgramAndCommandObjective,29,7,347.0,9.0,0.01579463751929323,0.0015144310796879658,0.6904170118751726,39.5,0.06783483809833897,0.08291468987692575,0.00022730906065203648,0.011795426367623742,25,0.8546705783215256
E41,PoliticalEventConflictConditionAndInstitutionalOutcome,44,21,845.0,125.0,0.07692368812898467,0.025315000012114963,0.8753501400560224,47.0,0.15454285179116153,0.15860323487151334,0.005595845879858233,0.021253229348035536,28,0.928094
E42,DoctrineKnowledgeVirtueAndMoralReligiousPrinciple,36,11,468.0,13.0,0.04459097735496378,0.004678509345366969,0.7659313725490196,43.0,0.09212996278015871,0.10462457984119003,0.0002871014969899349,0.021072775078600524,28,0.8632670135700439
E43,QuantityDateDurationAndScaleIndicator,35,1,309.0,1.0,0.030116880274473356,0.0007763963876966973,0.7427213309566251,42.333333333333336,0.061890534236127705,0.07760146926547871,5.903995833742249e-06,0.011339656043378143,28,0.7730942431741653
E44,BuddhaDeityNatAndSacredSupernaturalAgent,20,26,145.0,108.0,0.012082902222614881,0.005944177901506793,0.6127450980392156,35.0,0.02824212531702127,0.048894335501305466,0.002367260229277136,0.007484299687958567,28,0.8597731485845351
